"Growth","SeaIce","age","Individual","year","SeaIce.s","Site","Latitude","Longitude"
310,0.73491773308958,3,"anavik_ANNde01M",1994,-0.620506735009637,"Site1",64.82,-50.15
600,0.813162705667276,4,"anavik_ANNde01M",1995,-0.617341862516832,"Site1",64.82,-50.15
520,0.799512492382693,5,"anavik_ANNde01M",1996,-0.617893989805297,"Site1",64.82,-50.15
640,0.911151736745886,6,"anavik_ANNde01M",1997,-0.613378377338927,"Site1",64.82,-50.15
780,0.883851310176721,7,"anavik_ANNde01M",1998,-0.614482631915856,"Site1",64.82,-50.15
650,0.864107251675807,8,"anavik_ANNde01M",1999,-0.615281244600956,"Site1",64.82,-50.15
350,0.834613040828763,9,"anavik_ANNde01M",2000,-0.616474233920674,"Site1",64.82,-50.15
570,0.766118220597197,10,"anavik_ANNde01M",2001,-0.619244729778861,"Site1",64.82,-50.15
370,0.709323583180987,11,"anavik_ANNde01M",2002,-0.621541973675508,"Site1",64.82,-50.15
340,0.695185862279098,12,"anavik_ANNde01M",2003,-0.622113819795703,"Site1",64.82,-50.15
340,0.695185862279098,12,"anavik_ANNde01M",2003,-0.622113819795703,"Site1",64.82,-50.15
340,0.695185862279098,12,"anavik_ANNde01M",2003,-0.622113819795703,"Site1",64.82,-50.15
340,0.695185862279098,12,"anavik_ANNde01M",2003,-0.622113819795703,"Site1",64.82,-50.15
1180,0.721755027422303,13,"anavik_ANNde01M",2004,-0.621039143466371,"Site1",64.82,-50.15
1110,0.750761730652041,14,"anavik_ANNde01M",2005,-0.619865872978384,"Site1",64.82,-50.15
780,0.707617306520414,15,"anavik_ANNde01M",2006,-0.621610989586566,"Site1",64.82,-50.15
450,0.701523461304083,16,"anavik_ANNde01M",2007,-0.621857474983202,"Site1",64.82,-50.15
340,0.614990859232175,17,"anavik_ANNde01M",2008,-0.625357567615431,"Site1",64.82,-50.15
140,0.537233394271785,18,"anavik_ANNde01M",2009,-0.628502721276505,"Site1",64.82,-50.15
420,0.477269957343083,19,"anavik_ANNde01M",2010,-0.630928137579403,"Site1",64.82,-50.15
410,0.409993906154784,20,"anavik_ANNde01M",2011,-0.633649336358263,"Site1",64.82,-50.15
380,0.420475319926874,21,"anavik_ANNde01M",2012,-0.633225381476049,"Site1",64.82,-50.15
310,0.339305301645338,22,"anavik_ANNde01M",2013,-0.636508566959239,"Site1",64.82,-50.15
320,0.363436928702011,23,"anavik_ANNde01M",2014,-0.635532484788561,"Site1",64.82,-50.15
220,0.35588056063376,24,"anavik_ANNde01M",2015,-0.63583812668039,"Site1",64.82,-50.15
310,0.73491773308958,3,"anavik_ANNde02M",1994,-0.620506735009637,"Site1",64.82,-50.15
290,0.813162705667276,4,"anavik_ANNde02M",1995,-0.617341862516832,"Site1",64.82,-50.15
250,0.799512492382693,5,"anavik_ANNde02M",1996,-0.617893989805297,"Site1",64.82,-50.15
420,0.911151736745886,6,"anavik_ANNde02M",1997,-0.613378377338927,"Site1",64.82,-50.15
530,0.883851310176721,7,"anavik_ANNde02M",1998,-0.614482631915856,"Site1",64.82,-50.15
450,0.864107251675807,8,"anavik_ANNde02M",1999,-0.615281244600956,"Site1",64.82,-50.15
210,0.834613040828763,9,"anavik_ANNde02M",2000,-0.616474233920674,"Site1",64.82,-50.15
460,0.766118220597197,10,"anavik_ANNde02M",2001,-0.619244729778861,"Site1",64.82,-50.15
140,0.709323583180987,11,"anavik_ANNde02M",2002,-0.621541973675508,"Site1",64.82,-50.15
260,0.695185862279098,12,"anavik_ANNde02M",2003,-0.622113819795703,"Site1",64.82,-50.15
260,0.695185862279098,12,"anavik_ANNde02M",2003,-0.622113819795703,"Site1",64.82,-50.15
260,0.695185862279098,12,"anavik_ANNde02M",2003,-0.622113819795703,"Site1",64.82,-50.15
260,0.695185862279098,12,"anavik_ANNde02M",2003,-0.622113819795703,"Site1",64.82,-50.15
1070,0.721755027422303,13,"anavik_ANNde02M",2004,-0.621039143466371,"Site1",64.82,-50.15
640,0.750761730652041,14,"anavik_ANNde02M",2005,-0.619865872978384,"Site1",64.82,-50.15
400,0.707617306520414,15,"anavik_ANNde02M",2006,-0.621610989586566,"Site1",64.82,-50.15
220,0.701523461304083,16,"anavik_ANNde02M",2007,-0.621857474983202,"Site1",64.82,-50.15
120,0.614990859232175,17,"anavik_ANNde02M",2008,-0.625357567615431,"Site1",64.82,-50.15
50,0.537233394271785,18,"anavik_ANNde02M",2009,-0.628502721276505,"Site1",64.82,-50.15
150,0.477269957343083,19,"anavik_ANNde02M",2010,-0.630928137579403,"Site1",64.82,-50.15
200,0.409993906154784,20,"anavik_ANNde02M",2011,-0.633649336358263,"Site1",64.82,-50.15
130,0.420475319926874,21,"anavik_ANNde02M",2012,-0.633225381476049,"Site1",64.82,-50.15
130,0.339305301645338,22,"anavik_ANNde02M",2013,-0.636508566959239,"Site1",64.82,-50.15
140,0.363436928702011,23,"anavik_ANNde02M",2014,-0.635532484788561,"Site1",64.82,-50.15
110,0.35588056063376,24,"anavik_ANNde02M",2015,-0.63583812668039,"Site1",64.82,-50.15
690,0.707617306520414,3,"anavik_ANNde03M",2006,-0.621610989586566,"Site1",64.82,-50.15
710,0.701523461304083,4,"anavik_ANNde03M",2007,-0.621857474983202,"Site1",64.82,-50.15
530,0.614990859232175,5,"anavik_ANNde03M",2008,-0.625357567615431,"Site1",64.82,-50.15
210,0.537233394271785,6,"anavik_ANNde03M",2009,-0.628502721276505,"Site1",64.82,-50.15
320,0.477269957343083,7,"anavik_ANNde03M",2010,-0.630928137579403,"Site1",64.82,-50.15
450,0.409993906154784,8,"anavik_ANNde03M",2011,-0.633649336358263,"Site1",64.82,-50.15
